timestamp,hour,month,temperature_c,wind_speed_ms,wind_direction_deg,irradiance_w_m2,cloud_fraction,pressure_hpa,load_kw,solar_kw,wind_kw,hour_sin,hour_cos,month_sin,month_cos
2020-01-01 00:00:00,0,1,4.098993518305804,3.981520029968199,232.94191904850854,1.3799573200426251e-14,1.0,1010.520330882353,164.26124941169994,0.0,3.30117531366506,0.0,1.0,0.0,1.0
2020-01-01 01:00:00,1,1,4.267407645431263,4.946205830895433,245.64771835948613,1.3799511279490672e-14,1.0,1009.7469632352941,161.92497241932128,0.0,8.58080522704694,0.25881904510252074,0.9659258262890683,0.0,1.0
2020-01-01 02:00:00,2,1,4.884575219247893,8.633365840391784,258.3521744883674,1.3799449358555092e-14,0.996078431372549,1008.9096911764707,163.21830036512628,0.0,56.099539644566526,0.49999999999999994,0.8660254037844387,0.0,1.0
2020-01-01 03:00:00,3,1,5.140207627240386,11.051995737385004,259.76407198480825,1.3799573200426253e-14,1.0,1008.2527475490195,166.61012875871043,0.0,120.19894496844474,0.7071067811865476,0.7071067811865476,0.0,1.0
2020-01-01 04:00:00,4,1,5.274176863128105,11.64823999171894,255.53035774003055,1.3799449358555103e-14,0.996078431372549,1008.3648897058824,161.73479603880278,0.0,141.0877880111368,0.8660254037844386,0.5000000000000001,0.0,1.0
2020-01-01 05:00:00,5,1,5.346980913947618,8.153155003827722,225.86134376693698,1.6443288028695754e-14,0.996078431372549,1009.0631985294117,165.70287280761767,0.0,46.791067568425504,0.9659258262890683,0.25881904510252074,0.0,1.0
2020-01-01 06:00:00,6,1,6.942072969324499,3.594281642571749,203.2946057135664,0.0,0.996078431372549,1008.6949852941176,191.77808069818806,0.0,1.7551044346142344,1.0,6.123233995736766e-17,0.0,1.0
2020-01-01 07:00:00,7,1,6.9480449601716145,3.205313315434272,146.83531617194268,0.0,1.0,1009.2555588235294,197.8010992394336,0.0,0.5359651267206232,0.9659258262890683,-0.25881904510252063,0.0,1.0
2020-01-01 08:00:00,8,1,7.016754150390625,3.2591845599687934,141.18102864667262,0.0,0.996078431372549,1009.2454534313725,202.87205756497448,0.0,0.6883597432628589,0.8660254037844387,-0.4999999999999998,0.0,1.0
2020-01-01 09:00:00,9,1,6.8301630356733085,3.902698739749544,141.18443858287498,0.0,0.9803921568627451,1009.2846323529411,209.4996936312642,0.0,2.932771872659558,0.7071067811865476,-0.7071067811865475,0.0,1.0
2020-01-01 10:00:00,10,1,7.084412458831196,3.249319494822446,144.00378532195464,8.648156862745108,0.9921568627450981,1008.5035441176472,210.13608388656067,0.9258555280981855,0.6594023305604224,0.49999999999999994,-0.8660254037844387,0.0,1.0
2020-01-01 11:00:00,11,1,7.061537080652613,3.0709560912184637,145.42451595839333,2.260915032679738,0.9215686274509803,1007.0158161764706,211.59209328904612,0.24225054274916955,0.176773184936267,0.258819045102521,-0.9659258262890682,0.0,1.0
